City,Province,Year,Boys_Enrolled,Girls_Enrolled,Gender_parity_score,%_Complete_Primary_Schools,Complete_Primary_Schools,%_Primary_Schools_with_single_classroom,Primary_Schools_with_single_classroom,Number_of_primary_schools_as_%_of_total_schools,Number_of_primary_schools,%_Primary_Schools_with_single_teacher,Primary_Schools_with_single_teacher,Number_of_secondary_schools_as_%_of_total_schools,Number_of_secondary_schools,Total_number_of_schools,Population,Area ,Boundary_wall,Building_condition_satisfactory,Drinking_water,Toilet,Electricity,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",School_infrastructure_score,Education_score,Learning_score,Enrolment_score,Retention_score,Educational_Budget_Spend_of_GDP,Pakistan_Economic_Growth,Bomb_Blasts_Occurred,Drone_attacks_in_Pakistan,Terrorist_Attacks_Affectees,Global_Terrorism_Index_Pakistan
Jamshoro,Sindh,2016,0.6907,0.3093,0.447806573,0.298737728,213,0.312762973,223,0.905972046,713,0.388499299,277,0.094027954,74,787,,,81.907433,23.281907,32.959327,59.186536,46.984572,Cluster 1,48.863955,54.013261,30.47365,61.645831,43,2.2,0.047,16,3,1803,8.61
Kambar-Shahdadkot,Sindh,2016,0.6257,0.3743,0.598210005,0.459102902,696,0.166886544,253,0.92949111,1516,0.374010554,567,0.07050889,115,1631,,,60.092348,24.538259,31.728232,44.591029,35.883905,Cluster 1,39.366755,53.806956,33.485215,58.314968,36,2.2,0.047,16,3,1803,8.61
Karachi,Sindh,2016,0.6087,0.3913,0.642845408,0.700232019,1509,0.106728538,230,0.695834679,2155,0.193039443,416,0.304165321,942,3097,13215631,3527,87.006961,40.649652,58.37587,70.580046,67.610209,Cluster 2,64.844548,72.180952,67.89827,73.697919,58,2.2,0.047,16,3,1803,8.61
Kashmore-Kandhkot,Sindh,2016,0.7054,0.2946,0.417635384,0.411342426,573,0.135678392,189,0.931772575,1393,0.452979182,631,0.068227425,102,1495,662462,2592,34.242642,8.399139,48.456569,24.479541,10.122039,Cluster 1,25.139986,54.861695,33.062238,41.923055,65,2.2,0.047,16,3,1803,8.61
Khairpur,Sindh,2016,0.6593,0.3407,0.5167602,0.114303959,358,0.355363985,1113,0.905202312,3132,0.530332056,1661,0.094797688,328,3460,1546587,15910,55.45977,20.817369,77.234994,63.729246,54.597701,Cluster 1,54.367816,63.742063,30.38845,66.505338,74,2.2,0.047,16,3,1803,8.61
Larkana,Sindh,2016,0.6392,0.3608,0.564455569,0.617248062,637,0.088178295,91,0.883561644,1032,0.294573643,304,0.116438356,136,1168,1927066,7423,89.437984,54.748062,78.972868,76.647287,50.096899,Cluster 2,69.98062,63.842601,41.925772,65.365679,62,2.2,0.047,16,3,1803,8.61
Matiari,Sindh,2016,0.6485,0.3515,0.542020046,0.005834306,5,0.25633232,506,0.925485961,857,0.403733956,346,0.074514039,69,926,515331,1417,79.113186,32.079208,61.726954,74.329055,63.243874,Cluster 2,62.098455,54.295235,28.278616,51.747662,52,2.2,0.047,16,3,1803,8.61
Mirpurkhas,Sindh,2016,0.7244,0.2756,0.380452789,0.332320162,656,0.301050175,258,0.911357341,1974,0.53698075,1060,0.088642659,192,2166,1569030,2925,43.819656,26.494428,30.395137,47.771023,22.89767,Cluster 1,34.275583,52.196911,36.706019,52.521291,42,2.2,0.047,16,3,1803,8.61
Naushehro Feroze,Sindh,2016,0.6401,0.3599,0.562255898,0.444286392,937,0.141299194,298,0.904373928,2109,0.414414414,874,0.095626072,223,2332,1087571,2945,56.519678,32.764343,84.305358,56.709341,54.385965,Cluster 2,56.936937,69.878539,45.55,70.972184,77,2.2,0.047,16,3,1803,8.61
Sanghar,Sindh,2016,0.7171,0.2829,0.394505648,0.333900613,981,0.257903494,620,0.940460948,2938,0.455071477,1337,0.059539052,186,3124,1453028,10720,56.603131,30.088496,48.604493,46.255956,23.621511,Cluster 1,41.034717,57.553301,44.614815,52.3111,55,2.2,0.047,16,3,1803,8.61
Shaheed Benazirabad,Sindh,2016,0.6663,0.3337,0.500825454,0.308236273,741,0.210347175,618,0.915460777,2404,0.43469218,1045,0.084539223,222,2626,1071533,4502,66.056572,38.519135,69.134775,57.445923,62.229617,Cluster 2,58.677205,63.081329,35.425347,64.423251,69.105311,2.2,0.047,16,3,1803,8.61
Shikarpur,Sindh,2016,0.6923,0.3077,0.444460494,0.628303495,737,0.144927536,170,0.902307692,1173,0.226768968,266,0.097692308,127,1300,,,71.270247,14.919011,60.699062,56.265985,38.363171,Cluster 1,48.303495,54.788257,26.090723,51.294687,61,2.2,0.047,16,3,1803,8.61
Sukkur,Sindh,2016,0.6755,0.3245,0.4803849,0.273636364,301,0.258181818,284,0.879296563,1100,0.468181818,515,0.120703437,151,1251,890438,2512,66.090909,25.363636,72.090909,63.363636,54.181818,Cluster 2,56.218182,63.654803,47.807312,63.362156,61,2.2,0.047,16,3,1803,8.61
Tando Allah Yar,Sindh,2016,0.6398,0.3602,0.562988434,0.214285714,159,0.215633423,160,0.89290012,742,0.570080863,423,0.10709988,89,831,908373,5165,77.358491,30.32345,50.539084,62.533693,56.199461,Cluster 1,55.390836,56.740249,35.225,46.713701,59,2.2,0.047,16,3,1803,8.61
Tando Muhammad Khan,Sindh,2016,0.7389,0.2611,0.353363107,,,0.44,418,0.934119961,950,0.743157895,706,0.065880039,67,1017,550000,2310,59.473684,31.052632,53.368421,50.947368,20.210526,Cluster 1,43.010526,48.57254,39.223474,35.283098,43.668667,2.2,0.047,16,3,1803,8.61
Tharparkar,Sindh,2016,0.7573,0.2427,0.320480655,0.024200054,90,0.417585372,1553,0.927894212,3719,0.558214574,2076,0.072105788,289,4008,955812,19638,37.402528,41.462759,14.896478,33.019629,3.57623,Cluster 1,26.071525,46.69936,32.3,54.232323,26,2.2,0.047,16,3,1803,8.61
Thatta,Sindh,2016,0.7106,0.2894,0.407261469,0.018284107,26,0.514767932,732,0.938613861,1422,0.466947961,664,0.061386139,93,1515,914291,19638,45.921238,10.056259,5.907173,35.161744,1.828411,Cluster 1,19.774965,42.231505,34.772481,37.217551,18,2.2,0.047,16,3,1803,8.61
Umerkot,Sindh,2016,0.6213,0.3787,0.609528408,0.089423077,186,0.328365385,683,0.9344115,2080,0.582211538,1211,0.0655885,146,2226,1113194,17355,52.019231,28.798077,23.221154,54.615385,20,Cluster 1,35.730769,52.153092,33.025,51.71426,36,2.2,0.047,16,3,1803,8.61
