City,Province,Year,Boys_Enrolled,Girls_Enrolled,Gender_parity_score,%_Complete_Primary_Schools,Complete_Primary_Schools,%_Primary_Schools_with_single_classroom,Primary_Schools_with_single_classroom,Number_of_primary_schools_as_%_of_total_schools,Number_of_primary_schools,%_Primary_Schools_with_single_teacher,Primary_Schools_with_single_teacher,Number_of_secondary_schools_as_%_of_total_schools,Number_of_secondary_schools,Total_number_of_schools,Population,Area ,Boundary_wall,Building_condition_satisfactory,Drinking_water,Toilet,Electricity,"Boundary wall, Building condition satisfactory, Drinking water and 2 more (clusters)",School_infrastructure_score,Education_score,Learning_score,Enrolment_score,Retention_score,Educational_Budget_Spend_of_GDP,Pakistan_Economic_Growth,Bomb_Blasts_Occurred,Drone_attacks_in_Pakistan,Terrorist_Attacks_Affectees,Global_Terrorism_Index_Pakistan
Peshawar,KP,2016,0.7655,0.2345,0.306335728,0.881132075,934,0.028301887,30,0.76534296,1060,0.090566038,96,0.23465704,325,1385,2019118,1257,96.415094,86.603774,80.188679,92.45283,59.433962,Cluster 2,83.018868,62.739722,37.60772,76.902057,63,2.2,0.047,16,3,1803,8.61
Shangla,KP,2016,0.8099,0.1901,0.234720336,0.630182421,380,0.109452736,66,0.834024896,603,0.260364842,157,0.165975104,120,723,434563,1586,58.872305,86.567164,37.645108,67.993367,22.38806,Cluster 1,54.693201,46.893282,27.399074,44.163758,47,2.2,0.047,16,3,1803,8.61
Swabi,KP,2016,0.6712,0.3288,0.489868892,0.812080537,847,0.064237776,67,0.793759513,1043,0.123681687,129,0.206240487,271,1314,1026804,1543,92.329818,80.536913,83.79674,94.72675,85.810163,Cluster 2,87.440077,74.176585,50.9,79.929272,83,2.2,0.047,16,3,1803,8.61
Swat,KP,2016,0.7644,0.2356,0.308215594,0.643013899,879,0.111923921,153,0.837622549,1367,0.24506218,335,0.162377451,265,1632,1257602,5337,67.008047,91.660571,61.228969,76.737381,56.693489,Cluster 2,70.665691,58.16619,32.97858,77.126902,49,2.2,0.047,16,3,1803,8.61
Tank,KP,2016,0.9232,0.0768,0.083188908,0.805157593,281,0.031518625,11,0.813519814,349,0.163323782,57,0.186480186,80,429,238216,1679,93.123209,64.756447,52.722063,90.544413,65.902579,Cluster 2,73.409742,42.413324,30.416398,47.55239,34,2.2,0.047,16,3,1803,8.61
Tor Ghar,KP,2016,0.7656,0.2344,0.306165099,0.616504854,127,0.111650485,23,0.872881356,206,0.27184466,56,0.127118644,30,236,185000,497,43.203883,85.436893,21.84466,38.349515,2.427184,Cluster 1,38.252427,52.471431,45.190049,46.259096,45,2.2,0.047,16,3,1803,8.61
Upper Dir,KP,2016,0.7586,0.2414,0.31821777,0.690210657,557,0.118959108,96,0.840625,807,0.190830235,154,0.159375,153,960,575858,3699,70.384139,84.262701,38.785626,80.545229,25.27881,Cluster 2,59.851301,57.048672,39.15283,55.646141,59.25234,2.2,0.047,16,3,1803,8.61
Attock,Punjab,2016,0.5396,0.4604,0.853224611,0.835680751,712,0.042253521,36,0.662004662,852,0.122065728,104,0.337995338,435,1287,1274935,6858,95.187793,86.737089,95.305164,96.126761,86.737089,Cluster 2,92.018779,81.250789,57.017613,85.942461,86,2.2,0.047,16,3,1803,8.61
Bahawalnagar,Punjab,2016,0.6044,0.3956,0.654533422,0.713119216,1310,0.097441481,179,0.76446109,1837,0.189439303,348,0.23553891,566,2403,2061447,8878,86.499728,82.743604,96.897115,93.903103,77.299946,Cluster 2,87.468699,65.029001,57.55,59.010374,54,2.2,0.047,16,3,1803,8.61
Bahawalpur,Punjab,2016,0.5438,0.4562,0.838911364,0.752610966,1153,0.066579634,102,0.776482514,1532,0.180809399,277,0.223517486,441,1973,2433091,24830,90.73107,84.822602,98.237598,96.866841,82.70235,Cluster 2,90.672092,65.335176,62.47375,50.24721,53,2.2,0.047,16,3,1803,8.61
